Designer,FilePageURL
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Columnair_tall_clock_and_radio%2C_by_Raymond_Loewy%2C_Westinghouse_Electric_Co.%2C_Cranberry%2C_PA%2C_c._1930%2C_mahogany%2C_oak_veneer%2C_enameled_stee.%2C_Masonite_-_Montreal_Museum_of_Fine_Arts_-_Montreal%2C_Canada_-DSC09032.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Elna_Lotus_fermée.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Elna_Lotus_ouverte.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Globe_Radio_by_Raymond_Loewy.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Le_Creuset.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:LOEWY_HOUSE_PALM_SPRINGS_RIVERSIDE_COUNTY_CA.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Loewy2.gif
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Nordmende-05_hg.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Nordmende-06_hg.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Nordmende-07_hg.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Nordmende-08_hg.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Nordmende-10_hg.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Nordmende-11_hg.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Nordmende-12_hg.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:PCC_Cleveland.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Peace_cigarettes_(1952).webp
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Raymond_Loewy_-_DPLA_-_05e4290b66ae61fad9dfc6f22da2b6a9.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Raymond_Loewy_-_DPLA_-_fa5d9a805dd69731d1ef83bb118cbe5c.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Raymond_Loewy_circa_1956.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Raymond_Loewy%2C_apartment_at_900_5th_Ave.%2C_New_York_City._LOC_gsc.5a27247.tif
Raymond Loewy,https://commons.wikimedia.org/wiki/File:SS_Brasil_M238.tif
Raymond Loewy,https://commons.wikimedia.org/wiki/File:SS_Brasil_Stateroom_168_I.tif
Raymond Loewy,https://commons.wikimedia.org/wiki/File:SS_Brasil_Stateroom_168_II.tif
Raymond Loewy,https://commons.wikimedia.org/wiki/File:SS_Brasil_Stateroom_168_III.tif
