Designer,Work,Type,Status,SourceURL,LocalPath,Notes
Peter Behrens,Peter Behrens by Rudolf Bosselt, 1918, bronze - Museum Künstlerkolonie Darmstadt - Mathildenhöhe - Darmstadt, Germany - DSC06385.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/5/5a/Peter_Behrens_by_Rudolf_Bosselt%2C_1918%2C_bronze_-_Museum_K%C3%BCnstlerkolonie_Darmstadt_-_Mathildenh%C3%B6he_-_Darmstadt%2C_Germany_-_DSC06385.jpg,D:\history of id course\images\_extras\behrens\Peter_Behrens_by_Rudolf_Bosselt__1918__bronze_-_Museum_K_nstlerkolonie_Darmstadt_-_Mathildenh_he_-_Darmstadt__Germany_-_DSC06385.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,Marianne Brandt (contralto).jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/32/Marianne_Brandt_%28contralto%29.jpg,D:\history of id course\images\_extras\brandt\Marianne_Brandt__contralto_.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Max Liebermann Porträt Peter Behrens.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/8/8c/Max_Liebermann_Portr%C3%A4t_Peter_Behrens.jpg,D:\history of id course\images\_extras\behrens\Max_Liebermann_Portr_t_Peter_Behrens.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,Erinnerungen an Pauline Viardot.pdf,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/1/12/Erinnerungen_an_Pauline_Viardot.pdf,D:\history of id course\images\_extras\brandt\Erinnerungen_an_Pauline_Viardot.pdf,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,1915-06 Ausstellung Verwundeten- und Krankenfürsorge Erster Weltkrieg Magdeburg Freimaurerloge Ferdinand zur Glückseligkeit Peter Behrens A. Molling & Comp. Hannover Berlin.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/9/95/1915-06_Ausstellung_Verwundeten-_und_Krankenf%C3%BCrsorge_Erster_Weltkrieg_Magdeburg_Freimaurerloge_Ferdinand_zur_Gl%C3%BCckseligkeit_Peter_Behrens_A._Molling_%26_Comp._Hannover_Berlin.jpg,D:\history of id course\images\_extras\behrens\1915-06_Ausstellung_Verwundeten-_und_Krankenf_rsorge_Erster_Weltkrieg_Magdeburg_Freimaurerloge_Ferdinand_zur_Gl_ckseligkeit_Peter_Behrens_A._Molling___Comp._Hannover_Berlin.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,Friedhof Hadersdorf-Weidlingau Bischof-Brandt.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/2/2d/Friedhof_Hadersdorf-Weidlingau_Bischof-Brandt.jpg,D:\history of id course\images\_extras\brandt\Friedhof_Hadersdorf-Weidlingau_Bischof-Brandt.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Allgemeine Elektricitäts-Gesellschaft (logo).svg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/6/6d/Allgemeine_Elektricit%C3%A4ts-Gesellschaft_%28logo%29.svg,D:\history of id course\images\_extras\behrens\Allgemeine_Elektricit_ts-Gesellschaft__logo_.svg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,Marianne Brandt AEhrlichSängerinnen1895.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d0/Marianne_Brandt_AEhrlichS%C3%A4ngerinnen1895.jpg,D:\history of id course\images\_extras\brandt\Marianne_Brandt_AEhrlichS_ngerinnen1895.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Arbeitszimmer des Herausgebers Alexander Koch, c. 1903.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/3e/Arbeitszimmer_des_Herausgebers_Alexander_Koch%2C_c._1903.jpg,D:\history of id course\images\_extras\behrens\Arbeitszimmer_des_Herausgebers_Alexander_Koch__c._1903.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,Marianne Brandt as Adriano in Rienzi, photo by Falk, 1886 (Newberry Library, Westervelt Coll).jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/35/Marianne_Brandt_as_Adriano_in_Rienzi%2C_photo_by_Falk%2C_1886_%28Newberry_Library%2C_Westervelt_Coll%29.jpg,D:\history of id course\images\_extras\brandt\Marianne_Brandt_as_Adriano_in_Rienzi__photo_by_Falk__1886__Newberry_Library__Westervelt_Coll_.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
